Document # (page in master .pdf file)	Date (MM/DD/YYYY format)	"Name of writer (last, first, middle)"
450	12/02/30	"Newcomb, W, J"
448	12/04/30	"Kenworthy, John, R"
447	12/06/30	"Kenworthy, John, R"
445	12/11/30	N/A
444	12/22/30	N/A
443	12/24/30	"Kenworthy, John, R"
442	01/28/31	N/A
221	02/13/31	"Kenworthy, John, R"
441	03/05/31	"Kenworthy, John, R"
450	09/17/31	"Kenworthy, John, R"
438	09/22/31	N/A
439	09/22/31	"Newcomb, W, J"
437	09/23/31	"Kenworthy, John, R"
214	10/09/31	"Reuell, Garfield "
436	12/22/31	N/A
216	01/26/32	"Kenworthy, John, R"
430	02/08/32	"Eddward, Ronald"
432	02/08/32	"Rabenold, Ellwood, M"
428	02/11/32	N/A
429	02/11/32	"Newcomb, W, J"
421	02/29/32	N/A
427	03/01/32	"Hatchery, Willowemoc Creek"
426	03/11/32	"Newcomb, W, J"
419	04/12/32	"Leoy, Royal"
424	04/12/32	N/A
425	04/12/32	"Newcomb, W, J"
420	04/14/32	"Moore, Emmeline"
418	04/29/32	"Newcomb, W, J"
455	05/19/32	"Moore, Emmeline"
414	05/23/32	"Newcomb, W, J"
415	05/23/32	"Newcomb, W, J"
411	07/19/32	"Newcomb, W, J"
412	07/19/32	"Newcomb, W, J"
370	07/20/32	Senning
410	07/20/32	"Moore, Emmeline"
413	07/20/32	"Moore, Emmeline"
407	07/21/32	"R,P,A"
408	07/22/32	"Newcomb, W, J"
400	07/26/32	"Robertson, A, P"
402	07/26/32	"Newcomb, W, J"
403	08/06/32	"P,C,E"
399	08/15/32	"Newcomb, W, J"
395	08/17/32	"Newcomb, W, J"
396	08/17/32	"Newcomb, W, J"
368	08/20/32	N/A
371	08/20/32	"Shelton, R, S"
374	08/25/32	T.C. Murphy Lumber Co.
394	08/26/32	"Newcomb, W, J"
394	08/26/32	"Newcomb, W, J"
393	08/29/32	"Newcomb, W, J"
391	09/01/32	"Kenworthy, John, R"
404	09/06/32	"P,C,E"
404	09/06/32	"P,C,E"
398	09/08/32	"Moore, Emmeline"
390	09/12/32	"Newcomb, W, J"
389	09/14/32	"Newcomb, W, J"
217	09/15/32	"Moore, Emmeline"
364	09/15/32	N/A
375	09/15/32	"Moore, Emmeline"
219	09/23/32	N/A
388	09/24/32	"Scott, Reyall"
387	09/27/32	"Newcomb, W, J"
385	09/29/32	N/A
385	09/29/32	"Newcomb, W, J"
354	10/02/32	"Lovejoy, J, R"
383	10/03/32	American Fish Culture Company
357	10/08/32	"Annin, H, K"
358	10/10/32	"Newcomb, W, J"
359	10/10/32	"Newcomb, W, J"
343	10/11/32	"Greene, Willard, C"
355	10/11/32	"Newcomb, W, J"
356	10/11/32	"Newcomb, W, J"
347	10/13/32	"Annin, H, K"
353	10/13/32	"Newcomb, W, J"
378	10/13/32	"Kenworthy, John, R"
